,Year,Algeria,Argentina,Australia,Bangladesh,Brazil,BRICS,Canada,Chile,China (People's Republic of),Colombia,Egypt,Ethiopia,European Union (28 countries),Ghana,Haiti,India,Indonesia,Iran,Israel,Japan,Kazakhstan,Korea,Malaysia,Mexico,Mozambique,New Zealand,Nigeria,OECD - Total,Pakistan,Paraguay,Peru,Philippines,Russia,Saudi Arabia,South Africa,Sub-Saharan Africa,Sudan,Tanzania,Thailand,Turkey,Ukraine,United States,Uruguay,Viet Nam,World,Zambia
0,1970,0.0,0.0,0.0,0.0,0.0,0.0,1.5815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8813,0.0,0.0,0.0,0.3783,0.0,35.5796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2662,0.0,0.0,0.0,0.0
1,1971,0.0,0.0,0.0,0.0,0.0,0.0,1.2821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1773,0.0,0.0,0.0,0.4205,0.0,36.4639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2383,0.0,0.0,0.0,0.0
2,1972,0.0,0.0,0.0,0.0,0.0,0.0,1.8055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5002,0.0,0.054000000000000006,0.0,0.3556,0.0,38.7364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2947,0.0,0.0,0.0,0.0
3,1973,0.0,0.0,0.0,0.0,0.0,0.0,1.4196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1774,0.0,0.0931,0.0,0.3267,0.0,37.3763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0444,0.0,0.0,0.0,0.0
4,1974,0.0,0.0,0.0,0.0,0.0,0.0,0.9653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4463,0.0,0.1387,0.0,0.366,0.0,33.5485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8957,0.0,0.0,0.0,0.0
5,1975,0.0,0.0,0.0,0.0,0.0,0.0,1.1042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0780000000000003,0.0,0.0768,0.0,0.3822,0.0,33.1094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7949,0.0,0.0,0.0,0.0
6,1976,0.0,0.0,0.0,0.0,0.0,0.0,0.8839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1366,0.0,0.1349,0.0,0.3002,0.0,29.436999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7209,0.0,0.0,0.0,0.0
7,1977,0.0,0.0,0.0,0.0,0.0,0.0,0.7083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3083,0.0,0.2577,0.0,0.2984,0.0,26.7704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6659,0.0,0.0,0.0,0.0
8,1978,0.0,0.0,0.0,0.0,0.0,0.0,0.7483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1548,0.0,0.2945,0.0,0.293,0.0,27.2764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6083,0.0,0.0,0.0,0.0
9,1979,0.0,0.0,18.3715,0.0,0.0,0.0,0.9209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8139,0.0,0.2028,0.0,0.3219,0.0,27.5015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5866,0.0,0.0,0.0,0.0
10,1980,0.0,3.1406,17.3595,0.0,0.0,0.0,0.7022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1941,0.0,0.1096,0.0,0.3178,0.0,27.4023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6087,0.0,0.0,0.0,0.0
11,1981,0.0,3.0885,16.8626,0.0,0.0,0.0,0.6098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3228,0.0,0.1,0.0,0.3535,0.0,25.5765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6268,0.0,0.0,0.0,0.0
12,1982,0.0,2.8760000000000003,18.1769,0.0,0.0,0.0,0.6347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2721,0.0,0.081,0.0,0.4035,0.0,27.3178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6564,0.0,0.0,0.0,0.0
13,1983,3.9226,3.0572,18.2698,0.3229,0.0,0.5517,0.6843,1.1637,0.4669,0.3975,1.295,0.0,0.0,0.7364,0.5506,0.5948,0.5034,7.4469,0.9134,1.2254,0.0,0.1383,0.3241,0.3342,0.1505,26.1172,1.209,0.0,3.1692,0.7374,1.5438,0.2939,0.0,11.294,4.5786,1.6838,3.9307,1.1542,0.0079,6.0805,0.0,0.6566,9.6762,0.0303,0.0,0.2097
14,1984,4.0737,3.1039999999999996,19.653,0.3817,0.0,0.5633,0.7428,1.0575,0.4947,0.37,1.3484,0.0,0.0,0.6466,0.5622,0.5896,0.4268,7.3994,0.8984,1.1019,0.0,0.0876,0.3592,0.3273,0.1592,33.6021,1.2612,0.0,3.2743,0.7413,1.2461,0.2768,0.0,10.6396,4.4775,1.6307,4.0596,1.1094,0.01,5.9119,0.0,0.6684,10.9531,0.0388,0.0,0.1917
15,1985,3.8186,2.8168,21.6026,0.495,0.5052,0.5959,0.6483,1.1208,0.4946,0.3681,1.4019,0.0,0.0,0.6474,0.5509,0.5869,0.4303,7.3193,0.9052,1.1657,0.0,0.1619,0.3612,0.3775,0.2201,47.4746,1.2998,0.0,3.388,0.7464,1.4107,0.3027,0.0,9.3199,4.4218,1.6323,4.0479,1.1765,0.0111,6.1851,0.0,0.642,11.5905,0.043,0.0,0.21100000000000002
16,1986,3.801,2.8125,19.9516,0.5169,0.6653,0.6031,0.7927,1.0979,0.5094,0.3513,1.4468,0.0,0.0,0.6003,0.5401,0.5879,0.49700000000000005,6.9514,0.9863,1.1578,0.0,0.1055,0.3545,0.35100000000000003,0.3146,44.7216,1.3944,0.0,3.3135,0.7291,2.2423,0.3063,0.0,8.4231,3.6808,1.6301,3.3818,1.1505,0.0123,6.1498,0.0,0.6175,9.7799,0.0452,0.0,0.2193
17,1987,4.2192,2.5286,20.2957,0.5392,0.5952,0.6572,0.7766,1.1522,0.5782,0.3478,1.4576,0.0,0.0,0.6523,0.5311,0.628,0.4801,6.7828,1.1219,1.1159999999999999,0.0,0.1372,0.3585,0.2965,0.4903,27.6135,1.4197,0.0,3.4321,0.728,2.4445,0.3094,0.0,7.6943,4.0985,1.6641,3.3865,1.125,0.013999999999999999,6.1833,0.0,0.5854,12.6801,0.0442,0.0,0.2287
18,1988,4.2077,2.3408,18.8779,0.5631,0.6303,0.6882,0.7429,1.0101,0.6348,0.3595,1.6163,0.0,0.0,0.6581,0.5212,0.6236,0.4971,5.7072,1.2919999999999998,0.9241,0.0,0.2618,0.3603,0.3793,0.5870000000000001,39.8414,1.4556,0.0,3.5593,0.7225,1.7715,0.3784,0.0,6.4646,4.1359,1.7216,3.5759,1.0992,0.0163,6.0689,0.0,0.6195,13.7136,0.0414,0.0,0.2389
19,1989,4.7213,2.3072,20.3295,0.5914,0.6553,0.7469,0.6932,0.9249,0.7503,0.3278,1.3888,0.0,0.0,0.7244,0.5117,0.6164,0.4777,5.8583,1.1946,0.85,0.0,0.2551,0.3387,0.4543,0.6803,33.1681,1.5342,0.0,3.6955,0.7161,1.1967,0.3944,0.0,5.6339,4.1027,1.9003,3.5851,1.0905,0.0193,5.9566,0.0,0.6116,11.3691,0.038,0.0,0.2353
20,1990,4.9811,2.2712,18.8618,0.616,0.6721,0.773,0.7305,0.8156,0.8042,0.3222,1.2829,0.0,3.0592,0.6583,0.5025,0.6106,0.4447,5.5037,1.1736,0.7567,0.0,0.1958,0.36700000000000005,0.4573,0.8406,27.8272,1.5153,2.3014,3.8339,0.7084,1.4237,0.3862,0.0,5.7088,4.0296,1.8823,3.5731,1.0809,0.0206,5.9143,0.0,0.6226,10.4058,0.0356,1.5757,0.2392
21,1991,5.0284,2.3348,19.267,0.6456,0.6699,0.8078,0.7644,0.8772,0.8761,0.2989,1.1308,0.0,2.9164,0.6548,0.4931,0.6068,0.4586,6.2625,1.1374,0.7728,0.0,0.1602,0.3653,0.5919,0.9212,29.772,1.5297,2.2579,3.9982,0.6727,1.1582,0.3471,0.0,5.7592,3.946,1.8902,4.2801,1.0701,0.0218,5.8257,0.0,0.6164,13.8387,0.0292,1.5941,0.2429
22,1992,5.2633,1.8857,17.8316,0.6742,0.6658,0.904,0.7413,0.9521,0.9164,0.313,1.1487,0.0,2.9606,0.6343,0.48700000000000004,0.6028,0.4744,6.2002,1.0984,0.8111,12.7537,0.3113,0.4326,0.6323,0.8919,29.9187,1.5233,2.2566,4.1711,0.6373,1.1096,0.3608,2.0603,5.9679,4.0645,1.8461,4.9,1.0689,0.0258,5.6801,0.5963,0.5965,15.0364,0.0286,1.5594,0.2401
23,1993,5.5505,1.8737,17.3702,0.7157,0.6795,0.9416,0.7525,0.8966,0.9947,0.3276,1.1963,0.9996,2.9656,0.615,0.4788,0.5963,0.5231,5.8279,1.2402,0.6829999999999999,14.5451,0.2301,0.4129,0.6393,0.9168,21.4501,1.5456,2.1998,4.35,0.6286,1.0261,0.3784,2.1988,7.7065,3.6611,1.6746,5.4179,1.0681,0.0199,5.5763,0.5121,0.5798,14.7446,0.0318,1.5724,0.2574
24,1994,5.4511,2.3863,18.3785,0.7519,0.6523,0.9584,0.7233,0.7801,1.0617,0.3214,1.2806,0.9648,2.8309,0.6336,0.0,0.5870000000000001,0.4605,5.6491,1.2372,0.5718,13.3975,0.2815,0.3942,0.6627,0.9642,38.5613,1.7115,2.1553,4.5403,0.6208,0.9708,0.3912,1.8771,6.486000000000001,4.2609,1.7399,6.0968,1.0583,0.0181,4.9575,0.7301,0.5195,14.3231,0.0379,1.5817,0.265
25,1995,5.4188,2.2393,15.0059,0.7887,0.6973,1.0287,0.7134,0.7195,1.2409999999999999,0.3195,1.307,0.9284,2.7986,0.6118,1.153,0.6027,0.4308,5.5739,1.2716,0.585,10.8699,0.2507,0.5181,0.4075,0.9990000000000001,30.0268,1.8036,2.0993,4.745,0.5752,0.9762,0.3895,1.726,7.1957,3.3088,1.7907,6.8094,1.0968,0.0164,6.1427,0.657,0.5182,12.0918,0.0483,1.5931,0.2684
26,1996,5.6462,1.7930000000000001,14.6745,0.8503,0.5437,1.018,0.6642,0.7004,1.278,0.2848,1.2808,0.9061,2.8173,0.6194,0.4958,0.5997,0.4435,5.8787,1.2022,0.5047,9.5062,0.2132,0.6143,0.3971,1.0664,15.1869,1.8864,1.9971,2.9325,0.561,0.9752,0.3792,1.4155,6.9655,3.4255,1.796,6.5778,1.0635,0.0121,5.4012,0.5409,0.4915,13.6552,0.053,1.5195,0.2692
27,1997,5.192,1.6299,14.9195,0.8898,0.5658,1.1116,0.652,0.7314,1.4917,0.303,1.3081,0.8612,2.7853,0.6724,0.5678,0.5979,0.4745,5.8673,1.0707,0.4445,8.5335,0.1869,0.5346,0.4864,1.1006,26.1586,2.081,2.0233,2.8588,0.5578,1.0002,0.3754,1.2896,6.8165,3.3459,1.8634,6.8738,1.0489,0.0125,5.4821,0.414,0.484,11.8374,0.0523,1.5626,0.2736
28,1998,5.2007,1.4171,15.3055,0.8997,0.3931,1.1559,0.7302,0.758,1.6361,0.2762,1.3172,0.8705,2.6948,0.6598,0.6395,0.5929,0.3556,6.0633,1.1603,0.4259,7.0588,0.1561,0.5271,0.5069,1.1953,26.3881,2.1829,1.9901,2.8547,0.581,1.0127,0.3731,1.1395,6.4487,3.2552,1.8992,6.912000000000001,1.0317,0.0134,5.3424,0.3624,0.5168,10.4809,0.0524,1.5776,0.3378
29,1999,5.0339,1.3342,15.0584,0.8776,0.3934,1.194,0.754,0.7591,1.7421,0.2642,1.0989,0.8421,2.7935,0.7063,0.6261,0.5852,0.3342,5.4151,1.2339,0.3575,5.9299,0.1311,0.5467,0.5745,1.2068,22.735,2.2911,2.002,2.8499,0.5773,1.2682,0.3897,0.8736,6.5615,3.7092,1.903,6.5862,1.0441,0.0132,5.1836,0.3355,0.5078,10.3874,0.0517,1.5866,0.3942
30,2000,5.0615,1.4109,16.1403,0.875,0.4097,1.2661,0.8299,0.7208,1.8925,0.2939,1.0244,0.805,2.7752,0.9769,0.7386,0.5778,0.3321,5.8229,1.2997,0.3244,5.7525,0.1091,0.539,0.6802,1.2221,25.49,2.4111,2.0259,2.8371,0.5369,1.2953,0.3881,0.852,6.7775,4.0656,1.9197,6.5222,1.0228,0.0145,5.1956,0.3016,0.4965,9.1397,0.0525,1.6269,0.4487
31,2001,4.8725,1.3952,14.7525,0.8638,0.3773,1.3061,0.9113,0.6153,2.0154,0.282,1.0441,0.8564,2.7603,0.9547,0.7317,0.578,0.3906,5.8429,1.2921,0.311,5.8729,0.0931,0.6157,0.7201,1.2195,27.0683,2.5591,1.9877,2.8680000000000003,0.5233,1.287,0.3789,0.8163,5.9818,3.3671,1.9784,6.6514,1.0273,0.0194,4.8125,0.2755,0.5109,11.1499,0.0534,1.6337,0.44799999999999995
32,2002,4.86,1.3546,13.5602,0.8982,0.3516,1.3779,0.9106,0.6047,2.1719,0.2602,1.014,0.9987,2.4993,0.9794,0.7246,0.5865,0.52,5.8432,1.1402,0.2974,6.1154,0.1081,0.55,0.7248,1.1599,20.6138,2.5352,1.828,2.8877,0.517,1.2411,0.3708,0.8224,5.7476,3.2937,1.9648,6.3419,1.0056,0.0182,4.4999,0.3,0.5239,6.6098,0.0586,1.6261,0.5292
33,2003,4.8099,1.3195,11.9525,0.95,0.348,1.3217,0.9527,0.5308,2.0997,0.2921,0.8979,1.0423,2.4897,1.0859,0.7149,0.5521,0.5848,5.3518,1.1756,0.255,5.732,0.1041,0.4554,0.9673,1.0786,24.3438,2.5019,1.8043,2.8952,0.5009,1.2461,0.3576,0.7573,5.4186,3.1737,1.9687,6.4242,1.0212,0.0193,4.1639,0.3019,0.5002,5.4174,0.0642,1.5943,0.5849
34,2004,5.1552,1.2709,11.7836,1.0191,0.3781,1.3898,0.9739,0.5112,2.2416,0.31,0.7215,1.2051,2.4817,0.9456,0.6542,0.5513,0.4919,5.4221,1.1112,0.3225,6.0032,0.1124,0.536,0.8307,1.0603,13.7359,2.499,1.7582,2.9112,0.5921,1.2974,0.3558,0.7972,5.3388,3.2129,1.9782,6.3636,0.9746,0.0261,4.1864,0.3055,0.4823,4.9282,0.0835,1.6227,0.6116
35,2005,5.3552,1.2796,11.7921,1.0602,0.3807,1.426,0.983,0.4849,2.313,0.3386,1.0732,1.2645,2.4993,0.9179999999999999,0.6507,0.5475,0.4623,5.5194,1.2464,0.3677,6.2373,0.1137,0.5424,0.6838,1.054,21.0498,2.4843,1.7735,2.9343,0.5254,1.2845,0.3755,0.9474,5.6036,3.1766,2.026,7.3134,0.955,0.0291,4.0926,0.3027,0.4699,5.7887,0.0966,1.663,0.6307
36,2006,5.2774,1.2295,12.1691,1.0077,0.39299999999999996,1.4821,1.0664,0.5804,2.3852,0.3205,1.2739,1.4411,2.4654,1.0403,0.6249,0.5902,0.5445,4.8985,1.3852,0.3702,6.6557,0.1086,0.597,0.657,0.8848,19.3837,2.4915,1.7590000000000001,2.1496,0.4979,1.2804,0.4586,1.0338,5.1185,3.3484,2.2221,9.607000000000001,0.9582,0.0266,4.0411,0.2741,0.4656,3.5581,0.1093,1.6891,0.6156
37,2007,5.2481,1.2308,12.3912,1.0353,0.4204,1.5373,1.0709,0.5853,2.5071,0.3633,1.5238,1.5868,2.4069,1.2155,0.7025,0.6011,0.4611,4.2422,1.382,0.2669,7.0686,0.1076,0.6503,0.6693,0.9013,18.5562,2.4835,1.7391,2.1522,0.47200000000000003,1.2587,0.4964,1.0951,5.3527,2.8852,2.2239,9.4863,0.9284,0.0332,4.0889999999999995,0.2886,0.4993,2.9651,0.1306,1.7168,0.613
38,2008,4.867,1.1578,10.8331,1.0675,0.3932,1.5371,1.0245,0.6457,2.4853,0.364,1.7593,1.4719,2.2634,1.3572,0.7467,0.604,0.4273,3.6661,1.4584,0.2699,7.4203,0.1053,0.6427,0.6562,0.9624,17.6946,2.4607,1.6356,2.1623,0.4516,1.2242,0.5232,1.1623,4.6213,3.4475,2.2344,9.7678,0.9174,0.0316,4.004,0.3242,0.4387,2.9469,0.1115,1.7,0.5958
39,2009,5.1332,1.1086,10.1993,1.1031,0.4185,1.5490000000000002,1.0132,0.5535,2.5389,0.268,1.672,1.4965,2.2218,1.5012,0.6609,0.5817,0.4777,3.0059,1.5244,0.2725,7.5484,0.0973,0.6428,0.584,0.7588,8.9989,2.4531,1.5498,2.1546,0.4763,1.2052,0.5271,1.1312,4.3699,3.365,2.2103,9.171,0.8927,0.0296,3.7008,0.3386,0.4282,2.0329,0.1383,1.6936,0.6061
40,2010,5.2735,1.1037,8.8731,1.1372,0.4082,1.5972,0.9544,0.4848,2.6114,0.3811,1.4727,1.4409999999999998,2.0475,1.5126,0.5682,0.6288,0.4186,2.7997,1.6181,0.2185,7.8864,0.1029,0.7474,0.5439,0.7437,2.6641,2.5249,1.4004,2.1436,0.489,1.197,0.5282,1.1818,5.0252,3.153,2.1899,9.1171,0.8758,0.0304,3.3498,0.4033,0.4014,4.2622,0.1699,1.6766,0.6187
41,2011,6.2966,1.1394,7.9744,1.1707,0.4021,1.5796,0.9255,0.5321,2.5814,0.48100000000000004,1.4179,1.3614,2.0186,1.568,0.5644,0.6337,0.4119,3.0034,1.8355,0.2202,8.155,0.1172,0.6145,0.5194,0.7415,7.7565,2.4854,1.3946,2.1349,0.4913,1.2306,0.5125,1.2001,5.4746,2.9353,2.1749,8.9355,1.0496,0.0356,3.5581,0.3766,0.3701,4.998,0.1313,1.6831,0.6162
42,2012,6.4431,1.2209999999999999,8.6675,1.1629,0.4081,1.6066,0.8563,0.6226,2.6385,0.4034,1.4595,1.3464,1.879,1.5509,0.562,0.6296,0.4145,3.2193,1.7928,0.1899,8.0729,0.1203,0.6759999999999999,0.4799,0.7904,7.5193,2.4451,1.3613,2.1257,0.4942,1.2495,0.4887,1.2458,5.4892,3.0739,2.1039,8.7324,1.0458,0.0353,3.8302,0.3811,0.3762,4.7761,0.1152,1.686,0.6015
